"id","jurnal_id","user_id","parent_id","comment","like_count","userliked","is_publish","created_at","updated_at"
184811,104520,118520,,Mksh tipsnya Min,2,"[118520,1]",1,"2024-04-09 10:52:04","2024-04-11 14:13:14"
184812,104520,118520,,👍👍👍,1,[118520],1,"2024-04-09 10:52:13","2024-04-09 10:52:15"
184823,104520,134049,,👍👍👍,1,[134049],1,"2024-04-09 11:23:48","2024-04-09 11:24:02"
184824,104520,134049,,👍👍👍,2,"[134049,1]",1,"2024-04-09 11:23:54","2024-04-11 14:13:25"
184825,104520,134049,,👍👍👍,1,[134049],1,"2024-04-09 11:23:58","2024-04-09 11:24:01"
184826,104520,133962,,Ok makasih,2,"[133962,1]",1,"2024-04-09 11:25:20","2024-04-11 14:13:26"
184827,104520,133962,,😍😍😍,1,[133962],1,"2024-04-09 11:25:29","2024-04-09 11:25:43"
184828,104520,133962,,👍👍👍,1,[133962],1,"2024-04-09 11:25:40","2024-04-09 11:25:43"
184829,104520,71710,,ok kakak,2,"[71710,1]",1,"2024-04-09 11:41:44","2024-04-11 14:13:29"
184835,104520,115740,,Ulasan mantap,1,[1],1,"2024-04-09 12:11:12","2024-04-11 14:13:31"
184846,104520,134369,,gjjhgjj,0,,1,"2024-04-09 13:11:54","2024-04-09 13:11:54"
184847,104520,134369,,hujhhj,0,,1,"2024-04-09 13:12:09","2024-04-09 13:12:09"
184848,104520,134369,,gguyggg,0,,1,"2024-04-09 13:12:16","2024-04-09 13:12:16"
184903,104520,70725,,Tetap sehat bulan puasa,2,"[70725,1]",1,"2024-04-09 15:49:12","2024-04-11 14:13:32"
184911,104520,115154,,Makasih infonya Umamin pas bgt nih buat sambut besok,1,[1],1,"2024-04-09 16:19:12","2024-04-11 14:13:34"
184925,104520,51571,,"Sangat bermanfaat nih tipsnya, kalo gak diingatin gini suka bablas",1,[1],1,"2024-04-09 16:58:56","2024-04-11 14:13:01"
184927,104520,124358,,Mantap min,1,[1],1,"2024-04-09 17:05:41","2024-04-11 14:13:05"
184928,104520,40460,,Sip.,1,[1],1,"2024-04-09 17:10:24","2024-04-11 14:13:06"
184953,104520,21146,,Siap kakak,1,[1],1,"2024-04-09 18:20:32","2024-04-11 14:13:06"
184973,104520,134445,,Terima kasih informasinya,1,[1],1,"2024-04-09 18:52:21","2024-04-11 14:13:07"
185001,104520,117982,,Thx infonya umamin,1,[1],1,"2024-04-09 19:30:03","2024-04-11 14:13:37"
185021,104520,123568,,Thanks infonya min,1,[1],1,"2024-04-09 20:26:04","2024-04-11 14:12:59"
185039,104520,134470,,Mantaaap,0,,1,"2024-04-09 20:36:42","2024-04-09 20:36:42"
185040,104520,134470,,👌👌👌👌,1,[1],1,"2024-04-09 20:36:46","2024-04-11 14:12:58"
185041,104520,134470,,👍👍👍👍,0,,1,"2024-04-09 20:36:51","2024-04-09 20:36:51"
185164,104520,52202,,Makasih umamin,1,[1],1,"2024-04-09 22:38:29","2024-04-11 14:12:53"
185226,104520,128096,,"Nice info,",1,[1],1,"2024-04-10 05:29:08","2024-04-11 14:12:54"
185417,104520,133688,,Info yang bermanfaat,1,[1],1,"2024-04-10 08:26:29","2024-04-11 14:12:56"
185422,104520,124358,,Mantap,1,[1],1,"2024-04-10 08:48:10","2024-04-11 14:12:55"
185430,104520,133962,,👍🏻👍🏻👍🏻,1,[133962],1,"2024-04-10 09:03:07","2024-04-10 09:03:19"
185431,104520,133962,,👍🏻👍🏻👍🏻,2,"[133962,1]",1,"2024-04-10 09:03:11","2024-04-11 14:12:51"
185432,104520,133962,,👍🏻👍🏻👍🏻,1,[133962],1,"2024-04-10 09:03:16","2024-04-10 09:03:20"
185461,104520,21146,,Makasih umamin,1,[1],1,"2024-04-10 10:28:35","2024-04-11 14:12:49"
185481,104520,73871,,Makasih,0,,1,"2024-04-10 12:40:48","2024-04-10 12:40:48"
185482,104520,73871,,👍👍👍👍,1,[1],1,"2024-04-10 12:40:55","2024-04-11 14:12:48"
185483,104520,73871,,😁😁😁,0,,1,"2024-04-10 12:41:01","2024-04-10 12:41:01"
185486,104520,116531,,thanks tipsnya,1,[1],1,"2024-04-10 12:55:54","2024-04-11 14:12:46"
185504,104520,17958,,terima kasih Dapur Umami,1,[1],1,"2024-04-10 13:35:18","2024-04-11 14:12:45"
185513,104520,78846,,Makasih umamin,0,,1,"2024-04-10 14:08:49","2024-04-10 14:08:49"
185514,104520,78846,,👍👍👍👍,0,,1,"2024-04-10 14:08:54","2024-04-10 14:08:54"
185515,104520,78846,,🙏🙏🙏🙏,1,[1],1,"2024-04-10 14:08:58","2024-04-11 14:12:37"
185545,104520,128096,,Terimakasih utk  tipsnya,1,[1],1,"2024-04-10 15:27:47","2024-04-11 14:12:39"
185631,104520,118244,,🙏🙏🙏,1,[118244],1,"2024-04-10 18:42:03","2024-04-10 18:42:32"
185632,104520,118244,185631,👍👍👍,1,[118244],1,"2024-04-10 18:42:11","2024-04-10 18:42:34"
185633,104520,118244,185631,❤️❤️❤️,1,[118244],1,"2024-04-10 18:42:17","2024-04-10 18:42:34"
185652,104520,130254,,Terima kasih informasinya Umamin 🥰,1,[1],1,"2024-04-10 19:38:12","2024-04-11 14:12:40"
185687,104520,130246,,Sangat bermanfaat 🥰,1,[1],1,"2024-04-10 20:03:22","2024-04-11 14:12:41"
185712,104520,104420,,Lebaran sehat,1,[104420],1,"2024-04-10 20:41:43","2024-04-10 20:41:46"
185806,104520,129966,,Selamat hari raya idul fitri,0,,1,"2024-04-10 22:14:56","2024-04-10 22:14:56"
185807,104520,129966,,Selamat hari raya idul fitri,0,,1,"2024-04-10 22:14:57","2024-04-10 22:14:57"
185808,104520,129966,,Selamat hari raya idul fitri,1,[1],1,"2024-04-10 22:14:57","2024-04-11 14:12:20"
185920,104520,123424,,Minal aidzin wal faizdin,1,[1],1,"2024-04-10 23:38:32","2024-04-11 14:12:18"
186082,104520,102986,,Txkyu umamin,1,[1],1,"2024-04-11 04:46:11","2024-04-11 14:12:17"
186086,104520,134308,,Trinakasi,1,[1],1,"2024-04-11 04:56:34","2024-04-11 14:12:17"
186198,104520,129071,,Makasih,1,[1],1,"2024-04-11 06:46:52","2024-04-11 14:12:03"
186199,104520,129071,,Makasih,0,,1,"2024-04-11 06:46:52","2024-04-11 06:46:52"
186200,104520,129071,,👍👍👍👍,0,,1,"2024-04-11 06:46:59","2024-04-11 06:46:59"
186226,104520,130741,,Makasih info nya,1,[1],1,"2024-04-11 06:54:45","2024-04-11 14:13:55"
186227,104520,130741,,🙏🙏🙏🙏,1,[118244],1,"2024-04-11 06:54:51","2024-04-11 10:14:23"
186228,104520,130741,,👍👍👍👍,1,[118244],1,"2024-04-11 06:54:57","2024-04-11 10:14:22"
186279,104520,115734,,Minal Aidzin Walfa&#039;idzin.Mohon maaf lahir&amp;batin buat Umamin&amp;para member smuanya🙏🙏🙏,3,"[115734,118244,1]",1,"2024-04-11 07:42:53","2024-04-11 14:11:20"
186335,104520,113958,,🙏🙏🙏🙏🙏🙏,1,[1],1,"2024-04-11 09:09:16","2024-04-11 14:11:16"
186813,104520,128096,,Terimakasih tipsnya,2,"[115734,1]",1,"2024-04-12 04:47:40","2024-04-15 13:08:53"
186857,104520,117025,,Pola makan sehat,2,"[115734,1]",1,"2024-04-12 05:32:12","2024-04-15 13:08:45"
187021,104520,134308,,Oke pola sehat,1,[1],1,"2024-04-12 08:29:27","2024-04-15 13:08:52"
187370,104520,129071,,Makasih,1,[1],1,"2024-04-12 13:11:01","2024-04-15 13:08:51"
187371,104520,129071,,👍👍👍👍,0,,1,"2024-04-12 13:11:05","2024-04-12 13:11:05"
