"id","jurnal_id","user_id","parent_id","comment","like_count","userliked","is_publish","created_at","updated_at"
183794,104179,130319,,Nice info,0,,1,"2024-04-08 12:21:44","2024-04-08 12:21:44"
183795,104179,130319,,Terimakasih,1,[1],1,"2024-04-08 12:21:51","2024-04-09 10:20:17"
183797,104179,130319,,Ttwrimakasierimakasih,0,,1,"2024-04-08 12:22:06","2024-04-08 12:22:06"
183804,104179,129950,,Thanks 💯,1,[129950],1,"2024-04-08 12:34:15","2024-04-08 12:34:29"
183805,104179,129950,,Good article,1,[129950],1,"2024-04-08 12:34:21","2024-04-08 12:34:29"
183806,104179,129950,,Love 💖,2,"[129950,1]",1,"2024-04-08 12:34:26","2024-04-09 10:20:14"
183807,104179,71710,,alhamdulillah bisa sarapan lagi tanggal 10,2,"[71710,1]",1,"2024-04-08 12:41:56","2024-04-09 10:19:40"
183809,104179,102986,,👍👍👍,0,,1,"2024-04-08 12:42:40","2024-04-08 12:42:40"
183813,104179,130325,,Nice,0,,1,"2024-04-08 12:46:31","2024-04-08 12:46:31"
183814,104179,130325,,Nice,1,[1],1,"2024-04-08 12:46:37","2024-04-09 10:19:38"
183815,104179,130325,,Nice,0,,1,"2024-04-08 12:46:42","2024-04-08 12:46:42"
183820,104179,126029,,Makasih Umamin,0,,1,"2024-04-08 12:51:26","2024-04-08 12:51:26"
183821,104179,126029,,Makasih,0,,1,"2024-04-08 12:51:49","2024-04-08 12:51:49"
183822,104179,126029,,Mantap,1,[1],1,"2024-04-08 12:51:55","2024-04-09 10:19:36"
183831,104179,134150,,👍👍👍👍,0,,1,"2024-04-08 12:56:47","2024-04-08 12:56:47"
183839,104179,21146,,Lebaran memang identik dengan makanan enak terutama makanan bersantan,1,[1],1,"2024-04-08 13:06:34","2024-04-09 10:19:33"
183840,104179,21146,,Lebaran memang identik dengan makanan enak terutama makanan bersantan,0,,1,"2024-04-08 13:06:57","2024-04-08 13:06:57"
183853,104179,134301,,Air putih nih yang utama,1,[1],1,"2024-04-08 13:32:46","2024-04-09 10:18:55"
183863,104179,128206,,mantap terima kasih,1,[1],1,"2024-04-08 13:38:15","2024-04-09 10:18:54"
183878,104179,117037,,Minum mineral aja ya umamin,1,[1],1,"2024-04-08 14:23:08","2024-04-09 10:18:53"
183879,104179,117037,,🙏🙏🙏🙏,0,,1,"2024-04-08 14:23:12","2024-04-08 14:23:12"
183880,104179,117037,,😁😁😁,0,,1,"2024-04-08 14:23:17","2024-04-08 14:23:17"
183881,104179,115734,,Mksh tipsnya Min🙏,0,,1,"2024-04-08 14:40:39","2024-04-08 14:40:39"
183892,104179,102986,,👍👍👍,0,,1,"2024-04-08 14:53:37","2024-04-08 14:53:37"
183901,104179,128096,,Terimakasih tipsnya,1,[1],1,"2024-04-08 15:22:26","2024-04-09 10:18:48"
183929,104179,118298,,Terima kasih banyak tipsnya umamin,1,[1],1,"2024-04-08 16:29:45","2024-04-09 10:18:49"
183930,104179,118298,,Terima kasih banyak tipsnya umamin,1,[1],1,"2024-04-08 16:29:56","2024-04-09 10:18:11"
183931,104179,118298,,Sukses selalu,0,,1,"2024-04-08 16:30:01","2024-04-08 16:30:01"
183971,104179,113958,,👍👍👍,0,,1,"2024-04-08 18:02:52","2024-04-08 18:02:52"
183972,104179,122654,,👍👍👍,0,,1,"2024-04-08 18:03:30","2024-04-08 18:03:30"
184214,104179,129965,,Siap umamin,1,[1],1,"2024-04-08 21:49:34","2024-04-09 10:18:07"
184215,104179,129965,,Siap umamin,0,,1,"2024-04-08 21:49:34","2024-04-08 21:49:34"
184216,104179,129965,,👍👍👍,0,,1,"2024-04-08 21:49:44","2024-04-08 21:49:44"
184263,104179,130741,,Mantaaap,0,,1,"2024-04-08 22:10:08","2024-04-08 22:10:08"
184264,104179,130741,,Mantaaap,0,,1,"2024-04-08 22:10:09","2024-04-08 22:10:09"
184265,104179,130741,,👍👍👍👍,1,[1],1,"2024-04-08 22:10:15","2024-04-09 10:18:01"
